tweet_id,favorite_counts,retweet_counts,follower_counts,friend_counts,status_counts,language,date_time
743980027717509120,4135,1083,8794391,17,12474,en,2016-06-18 01:33:55
743895849529389061,3620,954,8794391,17,12474,en,2016-06-17 19:59:26
743835915802583040,0,2050,8794391,17,12474,en,2016-06-17 16:01:16
743609206067040256,4429,1370,8794391,17,12474,en,2016-06-17 01:00:24
743595368194129920,18199,6464,8794391,17,12474,en,2016-06-17 00:05:25
743545585370791937,3501,933,8794391,17,12474,en,2016-06-16 20:47:36
743510151680958465,7863,3704,8794391,17,12474,en,2016-06-16 18:26:48
743253157753532416,4192,1213,8794391,17,12474,en,2016-06-16 01:25:36
743222593470234624,6147,1891,8794391,17,12474,en,2016-06-15 23:24:09
743210557239623680,3799,1344,8794391,17,12474,en,2016-06-15 22:36:19
742534281772302336,7005,3532,8794391,17,12474,en,2016-06-14 01:49:03
742528092657332225,4370,1945,8794391,17,12474,en,2016-06-14 01:24:27
742465774154047488,7194,3881,8794391,17,12474,en,2016-06-13 21:16:49
742423170473463808,9726,3722,8794391,17,12474,en,2016-06-13 18:27:32
742385895052087300,6731,1944,8794391,17,12474,en,2016-06-13 15:59:24
742161199639494656,4298,1351,8794391,17,12474,en,2016-06-13 01:06:33
742150209887731712,5066,1528,8794391,17,12474,en,2016-06-13 00:22:53
741793263812808706,4499,1495,8794390,17,12474,en,2016-06-12 00:44:30
741743634094141440,8093,2719,8794390,17,12474,en,2016-06-11 21:27:17
741438259667034112,3653,819,8794390,17,12474,en,2016-06-11 01:13:51
741303864243200000,8696,3164,8794390,17,12474,en,2016-06-10 16:19:48
741099773336379392,9885,5449,8795055,17,12474,en,2016-06-10 02:48:49
741067306818797568,9422,3061,8794390,17,12474,en,2016-06-10 00:39:48
740995100998766593,6300,2703,8794390,17,12474,en,2016-06-09 19:52:53
740711788199743490,3371,925,8794390,17,12474,en,2016-06-09 01:07:06
740699697422163968,2820,772,8794390,17,12474,en,2016-06-09 00:19:04
740676976021798912,17995,6744,8794390,17,12474,en,2016-06-08 22:48:46
740373189193256964,34680,13160,8794390,17,12474,en,2016-06-08 02:41:38
740365076218183684,2432,426,8794390,17,12474,en,2016-06-08 02:09:24
740359016048689152,3263,853,8794390,17,12474,en,2016-06-08 01:45:19
740214038584557568,6621,1942,8794390,17,12474,en,2016-06-07 16:09:13
739979191639244800,19753,5860,8794390,17,12474,en,2016-06-07 00:36:02
739932936087216128,4011,1063,8794390,17,12474,en,2016-06-06 21:32:13
739844404073074688,3766,848,8794390,17,12474,en,2016-06-06 15:40:26
739623569819336705,3734,1335,8794390,17,12474,en,2016-06-06 01:02:55
739606147276148736,5336,1635,8794390,17,12474,en,2016-06-05 23:53:41
739544079319588864,39088,20975,8794390,17,12474,en,2016-06-05 19:47:03
739485634323156992,7078,2894,8794390,17,12474,en,2016-06-05 15:54:48
739238157791694849,114630,57236,8794390,17,12474,en,2016-06-04 23:31:25
738891149612572673,109,6,8794390,17,12474,und,2016-06-04 00:32:32
738885046782832640,3731,1129,8794390,17,12474,en,2016-06-04 00:08:17
738883359779196928,3270,782,8795055,17,12474,en,2016-06-04 00:01:35
738537504001953792,5026,1515,8794390,17,12474,en,2016-06-03 01:07:16
738402415918125056,3217,818,8794390,17,12474,en,2016-06-02 16:10:29
738184450748633089,4269,1197,8794390,17,12474,en,2016-06-02 01:44:22
738166403467907072,8673,3308,8794390,17,12474,en,2016-06-02 00:32:39
738156290900254721,2475,632,8794390,17,12474,en,2016-06-01 23:52:28
737826014890496000,5209,1745,8794390,17,12474,en,2016-06-01 02:00:04
737800304142471168,9882,3419,8794390,17,12474,en,2016-06-01 00:17:54
737678689543020544,4980,1295,8794390,17,12474,en,2016-05-31 16:14:39
737445876994609152,10131,4402,8794390,17,12474,en,2016-05-31 00:49:32
737322739594330112,3560,803,8794390,17,12474,en,2016-05-30 16:40:14
737310737551491075,14492,7313,8794390,17,12474,en,2016-05-30 15:52:33
736736130620620800,4204,1702,8794390,17,12474,en,2016-05-29 01:49:16
736392552031657984,17491,7271,8794390,17,12474,en,2016-05-28 03:04:00
736365877722001409,3921,1227,8794390,17,12474,en,2016-05-28 01:18:00
736225175608430592,8021,2741,8794390,17,12474,en,2016-05-27 15:58:54
736010884653420544,7797,2940,8794390,17,12474,en,2016-05-27 01:47:23
735991953473572864,3554,1133,8794390,17,12474,en,2016-05-27 00:32:10
735648611367784448,3983,1086,8794390,17,12474,en,2016-05-26 01:47:51
735635087207878657,6090,2320,8794390,17,12474,en,2016-05-26 00:54:06
735274964362878976,12858,4964,8794391,17,12474,en,2016-05-25 01:03:06
735256018284875776,3284,868,8794391,17,12474,en,2016-05-24 23:47:49
735137028879360001,3090,961,8794391,17,12474,en,2016-05-24 15:55:00
734912297295085568,2717,518,8794391,17,12474,en,2016-05-24 01:02:00
734787690684657664,12364,6194,8795056,17,12474,en,2016-05-23 16:46:51
734776360183431168,2470,531,8794391,17,12474,en,2016-05-23 16:01:50
734559631394082816,1461,391,8794391,17,12474,en,2016-05-23 01:40:38
733828123016450049,3531,770,8794391,17,12474,en,2016-05-21 01:13:53
733822306246479872,3622,1009,8794391,17,12474,en,2016-05-21 00:50:46
733482008106668032,3095,938,8794391,17,12474,en,2016-05-20 02:18:32
733460102733135873,4138,1264,8794391,17,12474,en,2016-05-20 00:51:30
